L_fuse,W_total,Stall_Speed,Max_Speed,ROC_Stall,SM_0,SM_dry,Result
3.5,19.359814961332,50.4613085177137,214.864864864865,73.9875828670158,-0.0514911541276329,-0.109913253736833,FAIL
3.501,19.3599861092409,50.4615315655157,214.864864864865,73.9869157395083,-0.0513717392182095,-0.109796949281209,FAIL
3.502,19.3601572549561,50.4617546094727,214.864864864865,73.9862485091879,-0.0512523343776369,-0.109680656851754,FAIL
3.503,19.3603283984783,50.4619776495861,214.864864864865,73.9855811762318,-0.0511329396053974,-0.109564376447763,FAIL
3.504,19.3604995398085,50.4622006858568,214.864864864865,73.9849137408168,-0.0510135549009765,-0.109448108068532,FAIL
3.505,19.3606706789473,50.462423718286,214.864864864865,73.9842462031193,-0.0508941802638564,-0.109331851713358,FAIL
3.506,19.3608418158957,50.4626467468747,214.864864864865,73.9835785633154,-0.0507748156935228,-0.109215607381537,FAIL
3.507,19.3610129506544,50.4628697716242,214.864864864865,73.9829108215809,-0.0506554611894586,-0.109099375072366,FAIL
3.508,19.3611840832242,50.4630927925354,214.864864864865,73.9822429780911,-0.0505361167511492,-0.108983154785142,FAIL
3.509,19.361355213606,50.4633158096096,214.864864864865,73.9815750330211,-0.0504167823780786,-0.108866946519161,FAIL
3.51,19.3615263418005,50.4635388228477,214.864864864865,73.9809069865457,-0.0502974580697311,-0.108750750273721,FAIL
3.511,19.3616974678086,50.463761832251,214.864864864865,73.9802388388391,-0.050178143825592,-0.108634566048119,FAIL
3.512,19.3618685916311,50.4639848378205,214.864864864865,73.9795705900753,-0.0500588396451457,-0.108518393841653,FAIL
3.513,19.3620397132687,50.4642078395573,214.864864864865,73.9789022404282,-0.0499395455278777,-0.108402233653619,FAIL
3.514,19.3622108327224,50.4644308374626,214.864864864865,73.9782337900708,-0.0498202614732718,-0.108286085483317,FAIL
3.515,19.3623819499928,50.4646538315373,214.864864864865,73.9775652391764,-0.0497009874808145,-0.108169949330043,FAIL
3.516,19.3625530650808,50.4648768217827,214.864864864865,73.9768965879174,-0.0495817235499907,-0.108053825193096,FAIL
3.517,19.3627241779873,50.4650998081998,214.864864864865,73.9762278364662,-0.0494624696802859,-0.107937713071775,FAIL
3.518,19.362895288713,50.4653227907898,214.864864864865,73.9755589849947,-0.0493432258711858,-0.107821612965378,FAIL
3.519,19.3630663972586,50.4655457695537,214.864864864865,73.9748900336747,-0.0492239921221758,-0.107705524873202,FAIL
3.52,19.3632375036251,50.4657687444926,214.864864864865,73.9742209826773,-0.0491047684327414,-0.107589448794548,FAIL
3.521,19.3634086078133,50.4659917156076,214.864864864865,73.9735518321734,-0.0489855548023699,-0.107473384728714,FAIL
3.522,19.3635797098238,50.4662146828999,214.864864864865,73.9728825823338,-0.0488663512305464,-0.107357332674999,FAIL
3.523,19.3637508096577,50.4664376463705,214.864864864865,73.9722132333287,-0.0487471577167566,-0.107241292632702,FAIL
3.524,19.3639219073155,50.4666606060205,214.864864864865,73.971543785328,-0.0486279742604876,-0.107125264601124,FAIL
3.525,19.3640930027982,50.466883561851,214.864864864865,73.9708742385013,-0.0485088008612262,-0.107009248579562,FAIL
3.526,19.3642640961065,50.4671065138632,214.864864864865,73.9702045930179,-0.0483896375184579,-0.106893244567318,FAIL
3.527,19.3644351872413,50.467329462058,214.864864864865,73.9695348490467,-0.0482704842316706,-0.106777252563691,FAIL
3.528,19.3646062762033,50.4675524064367,214.864864864865,73.9688650067564,-0.0481513410003501,-0.106661272567981,FAIL
3.529,19.3647773629933,50.4677753470002,214.864864864865,73.9681950663152,-0.048032207823984,-0.106545304579488,FAIL
3.53,19.3649484476122,50.4679982837497,214.864864864865,73.9675250278911,-0.0479130847020589,-0.106429348597513,FAIL
3.531,19.3651195300607,50.4682212166863,214.864864864865,73.9668548916516,-0.0477939716340622,-0.106313404621357,FAIL
3.532,19.3652906103397,50.4684441458111,214.864864864865,73.9661846577641,-0.047674868619482,-0.10619747265032,FAIL
3.533,19.3654616884499,50.4686670711251,214.864864864865,73.9655143263955,-0.0475557756578046,-0.106081552683702,FAIL
3.534,19.3656327643922,50.4688899926295,214.864864864865,73.9648438977126,-0.0474366927485174,-0.105965644720806,FAIL
3.535,19.3658038381673,50.4691129103253,214.864864864865,73.9641733718814,-0.0473176198911091,-0.105849748760931,FAIL
3.536,19.365974909776,50.4693358242137,214.864864864865,73.9635027490682,-0.0471985570850668,-0.105733864803381,FAIL
3.537,19.3661459792191,50.4695587342957,214.864864864865,73.9628320294384,-0.0470795043298795,-0.105617992847455,FAIL
3.538,19.3663170464975,50.4697816405723,214.864864864865,73.9621612131575,-0.046960461625034,-0.105502132892457,FAIL
3.539,19.3664881116119,50.4700045430448,214.864864864865,73.9614903003904,-0.046841428970019,-0.105386284937687,FAIL
3.54,19.3666591745631,50.4702274417142,214.864864864865,73.9608192913019,-0.046722406364323,-0.105270448982448,FAIL
3.541,19.3668302353519,50.4704503365815,214.864864864865,73.9601481860563,-0.0466033938074338,-0.105154625026041,FAIL
3.542,19.3670012939792,50.4706732276478,214.864864864865,73.9594769848176,-0.0464843912988407,-0.105038813067771,FAIL
3.543,19.3671723504456,50.4708961149143,214.864864864865,73.9588056877497,-0.0463653988380324,-0.104923013106937,FAIL
3.544,19.367343404752,50.471118998382,214.864864864865,73.9581342950158,-0.0462464164244965,-0.104807225142844,FAIL
3.545,19.3675144568992,50.4713418780521,214.864864864865,73.9574628067791,-0.0461274440577235,-0.104691449174795,FAIL
3.546,19.367685506888,50.4715647539255,214.864864864865,73.9567912232025,-0.0460084817372015,-0.104575685202091,FAIL
3.547,19.3678565547191,50.4717876260033,214.864864864865,73.9561195444482,-0.0458895294624199,-0.104459933224037,FAIL
3.548,19.3680276003935,50.4720104942867,214.864864864865,73.9554477706785,-0.0457705872328678,-0.104344193239936,FAIL
3.549,19.3681986439117,50.4722333587768,214.864864864865,73.9547759020551,-0.045651655048035,-0.104228465249091,FAIL
3.55,19.3683696852747,50.4724562194746,214.864864864865,73.9541039387397,-0.0455327329074107,-0.104112749250805,FAIL
3.551,19.3685407244832,50.4726790763811,214.864864864865,73.9534318808934,-0.0454138208104845,-0.103997045244383,FAIL
3.552,19.3687117615381,50.4729019294975,214.864864864865,73.952759728677,-0.0452949187567467,-0.103881353229129,FAIL
3.553,19.36888279644,50.4731247788249,214.864864864865,73.9520874822513,-0.0451760267456873,-0.103765673204346,FAIL
3.554,19.3690538291899,50.4733476243642,214.864864864865,73.9514151417763,-0.0450571447767949,-0.103650005169339,FAIL
3.555,19.3692248597884,50.4735704661167,214.864864864865,73.950742707412,-0.0449382728495613,-0.103534349123413,FAIL
3.556,19.3693958882365,50.4737933040834,214.864864864865,73.9500701793182,-0.0448194109634762,-0.103418705065871,FAIL
3.557,19.3695669145347,50.4740161382653,214.864864864865,73.9493975576542,-0.0447005591180295,-0.10330307299602,FAIL
3.558,19.3697379386841,50.4742389686635,214.864864864865,73.9487248425789,-0.0445817173127123,-0.103187452913163,FAIL
3.559,19.3699089606852,50.4744617952792,214.864864864865,73.948052034251,-0.0444628855470153,-0.103071844816605,FAIL
3.56,19.370079980539,50.4746846181133,214.864864864865,73.9473791328291,-0.0443440638204285,-0.102956248705653,FAIL
3.561,19.3702509982462,50.474907437167,214.864864864865,73.9467061384711,-0.0442252521324434,-0.10284066457961,FAIL
3.562,19.3704220138076,50.4751302524412,214.864864864865,73.946033051335,-0.0441064504825512,-0.102725092437783,FAIL
3.563,19.3705930272239,50.4753530639372,214.864864864865,73.9453598715781,-0.0439876588702419,-0.102609532279478,FAIL
3.564,19.3707640384961,50.475575871656,214.864864864865,73.9446865993576,-0.0438688772950083,-0.102493984104,FAIL
3.565,19.3709350476247,50.4757986755986,214.864864864865,73.9440132348305,-0.0437501057563406,-0.102378447910656,FAIL
3.566,19.3711060546107,50.4760214757661,214.864864864865,73.9433397781534,-0.0436313442537308,-0.102262923698752,FAIL
3.567,19.3712770594548,50.4762442721595,214.864864864865,73.9426662294825,-0.0435125927866705,-0.102147411467593,FAIL
3.568,19.3714480621578,50.4764670647801,214.864864864865,73.9419925889737,-0.0433938513546512,-0.102031911216487,FAIL
3.569,19.3716190627204,50.4766898536287,214.864864864865,73.9413188567829,-0.0432751199571648,-0.10191642294474,FAIL
3.57,19.3717900611435,50.4769126387065,214.864864864865,73.9406450330653,-0.0431563985937032,-0.101800946651658,FAIL
3.571,19.3719610574278,50.4771354200146,214.864864864865,73.939971117976,-0.0430376872637591,-0.10168548233655,FAIL
3.572,19.3721320515742,50.4773581975539,214.864864864865,73.9392971116698,-0.0429189859668238,-0.101570029998722,FAIL
3.573,19.3723030435833,50.4775809713257,214.864864864865,73.9386230143013,-0.0428002947023896,-0.101454589637481,FAIL
3.574,19.3724740334561,50.4778037413309,214.864864864865,73.9379488260245,-0.0426816134699497,-0.101339161252135,FAIL
3.575,19.3726450211931,50.4780265075706,214.864864864865,73.9372745469934,-0.0425629422689964,-0.101223744841991,FAIL
3.576,19.3728160067953,50.4782492700459,214.864864864865,73.9366001773616,-0.0424442810990225,-0.101108340406357,FAIL
3.577,19.3729869902634,50.4784720287579,214.864864864865,73.9359257172823,-0.0423256299595204,-0.100992947944542,FAIL
3.578,19.3731579715982,50.4786947837075,214.864864864865,73.9352511669087,-0.042206988849983,-0.100877567455852,FAIL
3.579,19.3733289508005,50.4789175348959,214.864864864865,73.9345765263934,-0.0420883577699037,-0.100762198939597,FAIL
3.58,19.373499927871,50.4791402823241,214.864864864865,73.9339017958887,-0.0419697367187761,-0.100646842395085,FAIL
3.581,19.3736709028105,50.4793630259932,214.864864864865,73.933226975547,-0.0418511256960924,-0.100531497821625,FAIL
3.582,19.3738418756198,50.4795857659043,214.864864864865,73.9325520655199,-0.0417325247013464,-0.100416165218523,FAIL
3.583,19.3740128462997,50.4798085020584,214.864864864865,73.9318770659591,-0.0416139337340322,-0.100300844585091,FAIL
3.584,19.3741838148509,50.4800312344565,214.864864864865,73.9312019770158,-0.0414953527936429,-0.100185535920638,FAIL
3.585,19.3743547812743,50.4802539630998,214.864864864865,73.9305267988409,-0.0413767818796723,-0.100070239224471,FAIL
3.586,19.3745257455705,50.4804766879892,214.864864864865,73.9298515315852,-0.0412582209916142,-0.0999549544959005,FAIL
3.587,19.3746967077404,50.4806994091259,214.864864864865,73.9291761753991,-0.041139670128963,-0.0998396817342359,FAIL
3.588,19.3748676677847,50.4809221265109,214.864864864865,73.9285007304326,-0.0410211292912126,-0.0997244209387872,FAIL
3.589,19.3750386257043,50.4811448401452,214.864864864865,73.9278251968356,-0.0409025984778576,-0.0996091721088642,FAIL
3.59,19.3752095814998,50.48136755003,214.864864864865,73.9271495747576,-0.0407840776883915,-0.099493935243776,FAIL
3.591,19.3753805351721,50.4815902561662,214.864864864865,73.9264738643479,-0.0406655669223093,-0.0993787103428335,FAIL
3.592,19.3755514867219,50.4818129585549,214.864864864865,73.9257980657553,-0.0405470661791056,-0.099263497405347,FAIL
3.593,19.37572243615,50.4820356571972,214.864864864865,73.9251221791287,-0.0404285754582749,-0.0991482964306265,FAIL
3.594,19.3758933834572,50.4822583520941,214.864864864865,73.9244462046164,-0.0403100947593129,-0.0990331074179832,FAIL
3.595,19.3760643286442,50.4824810432467,214.864864864865,73.9237701423665,-0.0401916240817134,-0.0989179303667269,FAIL
3.596,19.3762352717118,50.482703730656,214.864864864865,73.9230939925269,-0.040073163424972,-0.098802765276169,FAIL
3.597,19.3764062126608,50.4829264143232,214.864864864865,73.922417755245,-0.0399547127885842,-0.0986876121456214,FAIL
3.598,19.3765771514919,50.4831490942491,214.864864864865,73.9217414306683,-0.0398362721720449,-0.0985724709743943,FAIL
3.599,19.376748088206,50.4833717704349,214.594594594595,73.9210650189436,-0.0397178415748495,-0.0984573417617992,FAIL
3.6,19.3769190228037,50.4835944428817,214.594594594595,73.9203885202177,-0.0395994209964934,-0.0983422245071477,FAIL
3.601,19.3770899552858,50.4838171115904,214.594594594595,73.919711934637,-0.0394810104364728,-0.0982271192097518,FAIL
3.602,19.3772608856532,50.4840397765622,214.594594594595,73.9190352623477,-0.0393626098942832,-0.0981120258689224,FAIL
3.603,19.3774318139066,50.4842624377981,214.594594594595,73.9183585034957,-0.0392442193694204,-0.0979969444839728,FAIL
3.604,19.3776027400467,50.484485095299,214.594594594595,73.9176816582265,-0.0391258388613803,-0.097881875054214,FAIL
3.605,19.3777736640743,50.4847077490662,214.594594594595,73.9170047266855,-0.0390074683696596,-0.0977668175789591,FAIL
3.606,19.3779445859902,50.4849303991005,214.594594594595,73.9163277090178,-0.038889107893754,-0.0976517720575198,FAIL
3.607,19.3781155057952,50.4851530454031,214.594594594595,73.9156506053681,-0.0387707574331603,-0.0975367384892096,FAIL
3.608,19.3782864234899,50.4853756879751,214.594594594595,73.9149734158809,-0.038652416987375,-0.0974217168733411,FAIL
3.609,19.3784573390752,50.4855983268174,214.594594594595,73.9142961407005,-0.0385340865558939,-0.0973067072092262,FAIL
3.61,19.3786282525519,50.485820961931,214.594594594595,73.9136187799708,-0.0384157661382147,-0.0971917094961792,FAIL
